fid,item_id,lon,lat,Year
442,1599,-79.85,9.15,After 2000
443,1600,-111.65,35.19,After 2000
444,1609,-8.47,7.57,After 2000
445,1619,118,-32,Before 2000
446,1621,-70.1,-12.57,After 2000
447,1635,82.1,36.11,After 2000
448,1638,-7.9,38.57,After 2000
449,1654,115.82,40.5,After 2000
450,1658,-103.44,26.41,After 2000
451,1670,134.47,-14.13,After 2000
452,1672,24,69,After 2000
453,1672,25,70,After 2000
454,1672,28,70,After 2000
455,1672,31,70,After 2000
456,1673,102.31,2.98,After 2000
457,1678,34.59,-3.28,After 2000
458,1678,35.68,-3.08,After 2000
459,1678,34.57,-2.33,After 2000
460,1680,141.51,-29.09,After 2000
461,1680,140.41,-27.69,After 2000
462,1686,36.5,-7.86,After 2000
463,1686,36.95,-7.84,After 2000
464,1686,36.87,-7.75,After 2000
465,1687,144.57,-38.02,After 2000
466,1696,-4.49,39.4,After 2000
467,1696,-5.94,39.81,After 2000
468,1697,-52.75,-18.32,After 2000
469,1700,49.54,-15.41,After 2000
470,1700,50.05,-15.3,After 2000
471,1702,-88.61,16.79,After 2000
472,1713,-123.58,44.33,After 2000
473,1718,47.42,-21.22,After 2000
474,1724,50.1,-15.63,After 2000
475,1724,49.56,-15.4,After 2000
476,1732,138.81,37.39,After 2000
477,1733,138.81,37.39,After 2000
478,1738,77,10.3,After 2000
479,1739,49.47,37.46,After 2000
480,1740,12.92,46.05,After 2000
481,1747,53.55,28.55,After 2000
482,1751,8.57,47.39,After 2000
483,1752,119.86,-8.59,After 2000
484,1760,112.85,2.39,After 2000
485,1760,12.85,2.53,After 2000
486,1760,112.83,2.59,After 2000
487,1762,69.04,26.17,After 2000
488,1764,79.72,42.67,After 2000
489,1770,137.03,-29.72,After 2000
490,1773,-73.85,7.06,After 2000
491,1778,-68.32,-14.11,After 2000
492,1778,-69.21,-12.54,After 2000
493,1782,71,35,After 2000
494,1787,82.37,16.73,After 2000
495,1792,106.84,12.34,After 2000
496,1793,-73.85,7.06,After 2000
497,1800,-51.58,0.92,After 2000
498,1802,-100.57,21.97,After 2000
499,1803,-53.09,-22.66,After 2000
500,1807,103.13,31.1,After 2000
501,1807,104.05,32.93,After 2000
502,1808,-1.47,42.19,After 2000
503,1811,-78,40,After 2000
504,1819,-75.07,39.72,After 2000
505,1826,-82.68,41.37,After 2000
506,1826,-96.02,41.52,After 2000
507,1826,-90.16,44.33,After 2000
508,1849,-84.48,31.22,After 2000
509,1852,28.31,-25.38,After 2000
510,1863,-120.19,36.63,After 2000
511,1868,-100.52,36.8,After 2000
512,1897,2.47,41.62,After 2000
513,1903,-114.28,47.5,After 2000
514,1904,21.02,52.23,After 2000
515,1907,-74.01,40.71,After 2000
516,1912,40.43,-12.1,After 2000
517,1913,83.97,28.78,After 2000
518,1925,150.67,-34.96,After 2000
519,1928,144.79,-37.37,After 2000
520,1934,18.65,-33.99,After 2000
521,1935,18.65,-33.99,After 2000
522,1937,-97.38,35.63,After 2000
523,1940,30.1,51.39,After 2000
524,1954,145.17,-38.13,After 2000
525,1955,-83.27,35.5,After 2000
526,1960,129.35,28.27,After 2000
527,1962,-85.3,42.54,After 2000
528,1963,104.95,18.01,After 2000
529,1964,-87.82,38.35,Before 2000
530,1968,105.51,15.4,After 2000
531,1975,-59.34,2.18,After 2000
532,1975,-59.87,2.81,After 2000
533,1988,81.5,28.38,After 2000
534,1989,77.52,27.17,After 2000
535,1996,140.71,-30.13,After 2000
536,2000,38.77,8.82,After 2000
537,2001,-72,-12,After 2000
538,2002,-97.88,27.47,After 2000
539,2002,-97.87,27.53,After 2000
540,2002,-97.85,27.57,After 2000
541,2038,-122,37,After 2000
542,2045,-115.48,51.17,After 2000
543,2053,-0.42,51.88,After 2000
544,2053,-0.75,52.03,After 2000
545,2053,-0.47,52.97,After 2000
546,2054,-90.5,33.67,After 2000
547,2056,-121.6,37.5,After 2000
548,2057,34.75,-2.92,After 2000
549,2073,-76.46,34.71,After 2000
550,2075,128.72,-15.79,After 2000
551,2075,128.74,-15.69,After 2000
552,2076,-111.1,44.66,After 2000
